id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00284-08277;00284;0000-0322;000000000
00284-08278;00284;0000-0322;000000000
00284-08279;00284;0000-0323;000000000
00284-08280;00284;0000-0323;000000000
00284-08281;00284;0000-0323;000000000
00284-08282;00284;0000-0323;000000000
00284-08283;00284;0000-0323;000000000
00284-08284;00284;0000-0324;000000000
00284-08285;00284;0000-0324;000000000
00284-08286;00284;0000-0324;000000000
00165-08287;00165;0000-0324;000000000
00165-08288;00165;0000-0324;000000000
00165-08289;00165;0000-0325;000000000
00165-08290;00165;0000-0325;000000000
00165-08291;00165;0000-0325;000000000
00165-08292;00165;0000-0325;000000000
00165-08293;00165;0000-0325;000000000
00165-08294;00165;0000-0326;000000000
00165-08295;00165;0000-0326;000000000
00165-08296;00165;0000-0326;000000000
00165-08297;00165;0000-0326;000000000
00165-08298;00165;0000-0326;000000000
00165-08299;00165;0000-0327;000000000
00165-08300;00165;0000-0327;000000000
00165-08301;00165;0000-0327;000000000
00165-08302;00165;0000-0327;000000000
00165-08303;00165;0000-0327;000000000
00165-08304;00165;0000-0328;000000000
00165-08305;00165;0000-0328;000000000
00135-08306;00135;0000-0328;000000000
00135-08307;00135;0000-0328;000000000
00135-08308;00135;0000-0328;000000000
00135-08309;00135;0000-0329;000000000
00135-08310;00135;0000-0329;000000000
00135-08311;00135;0000-0329;000000000
00135-08312;00135;0000-0329;000000000
00135-08313;00135;0000-0329;000000000
00135-08314;00135;0000-0330;000000000
00135-08315;00135;0000-0330;000000000
00135-08316;00135;0000-0330;000000000
00135-08317;00135;0000-0330;000000000
00135-08318;00135;0000-0330;000000000
00135-08319;00135;0000-0331;000000000
00135-08320;00135;0000-0331;000000000
00135-08321;00135;0000-0331;000000000
00135-08322;00135;0000-0331;000000000
00135-08323;00135;0000-0331;000000000
00135-08324;00135;0000-0332;000000000
00135-08325;00135;0000-0332;000000000
00135-08326;00135;0000-0332;000000000
00135-08327;00135;0000-0332;000000000
00135-08328;00135;0000-0332;000000000
00135-08329;00135;0000-0333;000000000
00135-08330;00135;0000-0333;000000000
00135-08331;00135;0000-0333;000000000
00135-08332;00135;0000-0333;000000000
00135-08333;00135;0000-0333;000000000
00135-08334;00135;0000-0334;000000000
00135-08335;00135;0000-0334;000000000
00135-08336;00135;0000-0334;000000000
00135-08337;00135;0000-0334;000000000
00135-08338;00135;0000-0334;000000000
00135-08339;00135;0000-0335;000000000
00037-08340;00037;0000-0335;000000000
00037-08341;00037;0000-0335;000000000
